,Ticker,Date,STD,LTD,EBITDA_Int
114,MU,2018-08-30,859.0,3777.0,57.7573
115,MU,2017-08-31,1262.0,9872.0,16.188
116,MU,2016-09-01,756.0,9154.0,7.2037
117,TSLA,2018-12-31,2567.699,9403.672,2.2818
118,TSLA,2017-12-31,796.549,9418.219,0.0083
119,TSLA,2016-12-31,984.211,5870.335999999998,1.4072
120,BIIB,2018-12-31,0.0,5936.5,34.4227
121,BIIB,2017-12-31,3.2,5935.0,25.6252
122,BIIB,2016-12-31,4.7,6512.7,22.435
123,MAR,2018-12-31,833.0,8514.0,7.7941
124,MAR,2017-12-31,398.0,7840.0,9.6632
125,MAR,2016-12-31,309.0,8197.0,6.5641
126,JD,2018-12-31,4544.934,6786.143,3.4415
127,JD,2017-12-31,12884.881,10922.595,3.4835
128,JD,2016-12-31,11109.387,9149.401,3.5059
129,WDAY,2019-01-31,232.514,972.264,-3.221
130,WDAY,2018-01-31,341.509,1149.845,-2.4397
131,WDAY,2017-01-31,0.0,534.423,-6.3733
132,CTSH,2018-12-31,9.0,736.0,122.1852
133,CTSH,2017-12-31,175.0,698.0,127.1304
134,CTSH,2016-12-31,81.0,797.0,140.4211
135,ADI,2018-11-03,67.0,6265.674,10.5714
136,ADI,2017-10-28,300.0,7551.084,6.5348
137,ADI,2016-10-29,0.0,1732.177,13.9471
138,REGN,2018-12-31,0.0,708.5,95.1277
139,REGN,2017-12-31,0.0,703.5,88.6494
140,REGN,2016-12-31,127.274,351.569,199.3611
141,AMAT,2018-10-28,0.0,5309.0,22.4487
142,AMAT,2017-10-29,0.0,5304.0,21.5909
143,AMAT,2016-10-30,0.0,3125.0,16.3935
144,KHC,2018-12-29,398.0,30770.0,-7.1939
145,KHC,2017-12-30,3195.0,28308.0,5.7439
146,KHC,2016-12-31,2691.0,29713.0,6.1182
147,ADSK,2019-01-31,0.0,2087.7,0.0
148,ADSK,2018-01-31,0.0,1586.0,0.0
149,ADSK,2017-01-31,398.7,1092.0,0.0
150,ROST,2019-02-02,0.0,312.44,144.5158
151,ROST,2018-02-03,84.973,311.994,125.3016
152,ROST,2017-01-28,0.0,396.49300000000005,107.5762
153,NTES,2018-12-31,13658.553999999998,0.0,32.1428
154,NTES,2017-12-31,6623.502,0.0,140.66899999999998
155,NTES,2016-12-31,3815.691,0.0,402.372
156,ATVI,2018-12-31,0.0,2671.0,22.2836
157,ATVI,2017-12-31,0.0,4390.0,16.72
158,ATVI,2016-12-31,0.0,4887.0,13.0051
159,FISV,2018-12-31,4.0,5955.0,11.9637
160,FISV,2017-12-31,3.0,4897.0,11.1648
161,FISV,2016-12-31,95.0,4467.0,11.3865
162,XLNX,2019-03-30,0.0,1234.807,20.0662
163,XLNX,2018-03-31,499.186,1214.44,17.0774
164,XLNX,2017-04-01,456.328,995.247,14.1238
165,EBAY,2018-12-31,1546.0,7675.0,8.9509
166,EBAY,2017-12-31,781.0,9234.0,10.0685
167,EBAY,2016-12-31,1451.0,7509.0,13.3644
168,ERIC,2018-12-31,2255.0,30870.0,6.1543
169,ERIC,2017-12-31,2545.0,30500.0,-21.6577
170,ERIC,2016-12-31,8033.0,18653.0,10.4723
171,ALXN,2018-12-31,343.8,2862.7,6.8727
172,ALXN,2017-12-31,167.4,3063.6,11.4238
173,ALXN,2016-12-31,167.0,3121.5,10.9783
174,PAYX,2019-05-31,0.0,796.4,88.2273
175,PAYX,2018-05-31,0.0,0.0,366.5385
176,PAYX,2017-05-31,0.0,0.0,546.6
177,AMD,2018-12-29,136.0,1114.0,5.1322
178,AMD,2017-12-30,70.0,1325.0,2.1508
179,AMD,2016-12-31,0.0,1435.0,-1.5385
180,LRCX,2019-06-30,667.1310000000002,3872.207,
181,LRCX,2018-06-24,610.03,1884.754,36.3467
182,LRCX,2017-06-25,908.439,1954.835,18.7629
183,LRCX,2016-06-26,947.733,3585.681,10.1302
184,MNST,2018-12-31,0.0,0.0,22343.3
185,MNST,2017-12-31,0.0,0.0,15595.925
186,MNST,2016-12-31,0.0,0.0,16088.3286
187,EA,2019-03-31,0.0,994.0,25.3556
188,EA,2018-03-31,0.0,992.0,35.6818
189,EA,2017-03-31,0.0,990.0,29.7021
190,NXPI,2018-12-31,1107.0,6247.0,17.2051
191,NXPI,2017-12-31,751.0,5814.0,13.7903
192,NXPI,2016-12-31,421.0,8766.0,5.0368
193,XEL,2018-12-31,1444.0,15803.0,5.7454
194,XEL,2017-12-31,1271.0,14520.0,6.1019
195,XEL,2016-12-31,647.0,14195.0,5.9289999999999985
196,SIRI,2018-12-31,3.447,6884.536,5.7921
197,SIRI,2017-12-31,5.105,6741.243,5.6083
198,SIRI,2016-12-31,5.485,5842.764,5.1358
199,TEAM,2019-06-30,853.576,0.0,0.0
200,TEAM,2018-06-30,0.0,819.637,0.0
201,TEAM,2017-06-30,0.0,0.0,0.0
202,TEAM,2016-06-30,0.0,0.0,0.0
203,MELI,2018-12-31,132.94899999999998,602.2280000000002,-0.4212
204,MELI,2017-12-31,56.325,312.089,3.672
205,MELI,2016-12-31,11.583,301.94,8.2046
206,PCAR,2018-12-31,3540.8,6409.7,22.4781
207,PCAR,2017-12-31,2933.9,5945.5,25.1107
208,PCAR,2016-12-31,2447.5,6027.7,19.3068
209,CTRP,2018-12-31,36011.0,24146.0,2.3786
210,CTRP,2017-12-31,16316.0,29220.0,2.9751
211,CTRP,2016-12-31,6887.3096,34650.6736,-1.1608
212,GOLD,2018-12-31,43.0,5695.0,4.104
213,GOLD,2017-12-31,59.0,6364.0,9.9432
214,GOLD,2016-12-31,143.0,7788.0,7.286
215,ALGN,2018-12-31,0.0,0.0,0.0
216,ALGN,2017-12-31,0.0,0.0,0.0
217,ALGN,2016-12-31,0.0,0.0,0.0
218,WLTW,2018-12-31,186.0,4389.0,7.4808
219,WLTW,2017-12-31,85.0,4450.0,7.1755
220,WLTW,2016-12-31,508.0,3357.0,7.1739
221,MCHP,2019-03-31,1360.8,8946.2,3.1631
222,MCHP,2018-03-31,1309.9,1758.4,7.8
223,MCHP,2017-03-31,50.0,2900.5,5.0923
224,VRSN,2018-12-31,0.0,1785.047,7.1031
225,VRSN,2017-12-31,627.616,1782.529,5.5569
226,VRSN,2016-12-31,629.764,1237.189,6.4444
227,VRSK,2018-12-31,672.8,2050.5,8.714
228,VRSK,2017-12-31,724.4,2284.4,8.6985
229,VRSK,2016-12-31,106.8,2280.2,8.2683
230,LULU,2019-02-03,0.0,0.0,0.0
231,LULU,2018-01-28,0.0,0.0,0.0
232,LULU,2017-01-29,0.0,0.0,0.0
233,UAL,2018-12-31,2072.0,17715.0,10.3672
234,UAL,2017-12-31,1693.0,12699.0,9.9148
235,UAL,2016-12-31,965.0,10740.0,11.6513
236,INFO,2018-11-30,789.9,4889.2,5.2641
237,INFO,2017-11-30,576.0,3617.3,6.5891
238,INFO,2016-11-30,104.6,3279.3,4.9925
239,CTAS,2019-05-31,312.264,2537.507,14.6814
240,CTAS,2018-05-31,0.0,2535.309,11.1572
241,CTAS,2017-05-31,362.9,2770.6240000000007,11.2141
242,FITB,2018-12-31,2498.0,14426.0,0.0
243,FITB,2017-12-31,4186.0,14904.0,0.0
244,FITB,2016-12-31,3667.0,14388.0,0.0
245,CHKP,2018-12-31,0.0,0.0,0.0
246,CHKP,2017-12-31,0.0,0.0,0.0
247,CHKP,2016-12-31,0.0,0.0,0.0
