,Ticker,Date,divp,ROA,ROE,DE,AE
154,NTES,2017-12-31,0.24804,16.5933,25.5185,-77.54899999999998,1.5097
155,NTES,2016-12-31,0.252346,23.3987,34.4189,-84.6712,1.5088
156,ATVI,2018-12-31,0.142901,9.9334,17.4168,-13.6832,1.5704
157,ATVI,2017-12-31,0.8285710000000001,1.5116,2.9385,-3.4137,1.9729
158,ATVI,2016-12-31,0.2,5.9086,11.1945,18.0064,1.9138
159,FISV,2018-12-31,0.0,11.0157,47.2532,241.7793,4.9115
160,FISV,2017-12-31,0.0,12.4401,47.2686,167.5211,3.7675
161,FISV,2016-12-31,0.0,9.7469,35.7624,167.7292,3.8343
162,XLNX,2019-03-30,0.397715,17.4258,34.0779,-67.827,1.8002
163,XLNX,2018-03-31,0.7100839999999999,9.468,19.057,-73.4612,2.144
164,XLNX,2017-04-01,0.5341940000000001,13.0235,24.4173,-74.5258,1.8894
165,EBAY,2018-12-31,0.0,10.3678,35.3105,10.683,3.633
166,EBAY,2017-12-31,,-4.0816,-10.9425,-16.0765,3.2285
167,EBAY,2016-12-31,0.0,34.931,84.90799999999999,17.1838,2.2627
168,ERIC,2018-12-31,,-2.4705,-7.1012,-40.8693,3.0621
169,ERIC,2017-12-31,,-11.9758,-28.1413,-35.51980000000001,2.6635
170,ERIC,2016-12-31,3.998982,0.293,0.5927,-23.0605,2.1008
171,ALXN,2018-12-31,0.0,0.5641,0.8594,17.923000000000005,1.5201
172,ALXN,2017-12-31,0.0,3.3037,5.0413,19.7558,1.5274
173,ALXN,2016-12-31,0.0,3.0315,4.7119,22.9485,1.5245
174,PAYX,2019-05-31,0.799304,12.4691,41.5731,3.1991,3.3121
175,PAYX,2018-05-31,0.7440899999999999,13.4801,46.1075,-17.999000000000006,3.3585
176,PAYX,2017-05-31,0.810351,12.3138,42.2705,-16.5397,3.495
177,AMD,2018-12-29,0.0,8.3128,36.1976,7.425,3.5987
178,AMD,2017-12-30,,-0.9603,-6.5217,35.2349,5.9597
179,AMD,2016-12-31,,-15.5504,,41.1058,7.9832
180,LRCX,2019-06-30,0.306149,17.9032,39.2177,-19.082,2.5678
181,LRCX,2018-06-24,0.17313900000000002,19.3534,35.7478,-37.7556,1.9194
182,LRCX,2017-06-25,0.157658,13.9235,26.7113,-46.614,1.7782
183,LRCX,2016-06-26,0.208635,8.4521,16.6226,-38.9263,2.0806
184,MNST,2018-12-31,0.0,21.3139,26.4585,-26.5353,1.2537
