,Ticker,Date,CR,QR,IntT,Wcap,DSO
83,CELG,2016-12-31,2.6935,3.2413,0.9305,1872.0,52.8352
84,ISRG,2018-12-31,3.7328,4.5642,3.4454,990.6,66.8706
85,ISRG,2017-12-31,2.9581,3.7244,4.4213000000000005,666.6,59.0732
86,ISRG,2016-12-31,4.2826,5.0039,4.6505,544.0,58.2211
87,TMUS,2018-12-31,0.1172,0.2895,13.8521,-2634.0,14.9085
88,TMUS,2017-12-31,0.1059,0.2722,13.2297,-2701.0,17.2144
89,TMUS,2016-12-31,0.6096,0.8198,13.7573,-2156.0,18.5099
90,CME,2018-12-31,0.0351,0.0485,0.0,437.3,46.8637
91,CME,2017-12-31,0.0437,0.0515,0.0,328.4,36.0223
92,CME,2016-12-31,0.0501,0.0595,0.0,338.2,37.0968
93,CSX,2018-12-31,0.5802,1.1076,0.0,324.0,30.0939
94,CSX,2017-12-31,0.2212,0.7334,0.0,495.0,31.1203
95,CSX,2016-12-30,0.5,0.9598,0.0,539.0,31.439
96,BIDU,2018-12-31,2.4495,2.5553,0.0,5675.0,21.466
97,BIDU,2017-12-31,1.2243,1.28,0.0,4241.0,19.6726
98,BIDU,2016-12-31,1.9488,2.0379,0.0,3640.687,21.3186
99,AMOV,2018-12-31,0.1513,0.6142,12.8629,138125.902,76.0183
100,AMOV,2017-12-31,0.2018,0.5726,13.1165,85624.67300000001,54.7693
101,AMOV,2016-12-31,0.1661,0.6039,13.3904,5380.705,77.2119
102,VOD,2019-03-31,1.0441,1.2195,46.5792,-1351.0,37.4145
103,VOD,2018-03-31,0.3451,0.4859,56.6482,-113.0,43.0357
104,VOD,2017-03-31,0.3528,0.4778,53.5232,-338.0,40.599
105,WBA,2018-08-31,0.0362,0.3396,10.9126,2572.0,18.2393
106,WBA,2017-08-31,0.17800000000000002,0.53,9.975,2933.0,20.156
107,WBA,2016-08-31,0.5764,0.9444,9.9214,4216.0,19.524
108,ILMN,2018-12-30,1.9468,2.2317,2.8734,716.0,56.1344
109,ILMN,2017-12-31,2.8753,3.4263,2.925,584.0,54.3619
110,ILMN,2017-01-01,2.212,2.7531,2.5639,543.556,57.8722
111,VRTX,2018-12-31,2.8281,3.1937,3.4679,423.061,49.0669
112,VRTX,2017-12-31,2.5874,2.9359,2.9046,319.1790000000001,41.2634
