,Ticker,Date,RevYoY,EBITDAYoY,EPSYoY,CapDe,DPSYoY
64,BKNG,2016-12-31,0.164681,-0.08947000000000001,-0.13875,1.5699999999999998,0.0
65,CHTR,2018-12-31,0.049374,0.057505999999999995,-0.8627540000000001,1.1551,0.0
66,CHTR,2017-12-31,0.433679,0.569369,1.260635,1.1129,0.0
67,CHTR,2016-12-31,1.9734470000000002,1.890707,,1.065,0.0
68,MDLZ,2018-12-31,0.0016220000000000002,-0.036232,0.22994699999999998,1.7244000000000002,0.170732
69,MDLZ,2017-12-31,-0.001042,0.261203,0.747664,1.5893000000000002,0.13888899999999998
70,MDLZ,2016-12-31,-0.12528699999999998,-0.653559,-0.7616930000000001,1.8918,0.125
71,ADP,2019-06-30,0.06358899999999999,0.16981300000000002,0.23130799999999999,0.5322,0.214286
72,ADP,2018-06-30,0.076568,0.110523,0.105943,0.7508,0.125
73,ADP,2017-06-30,0.061023,0.06607199999999999,0.18348599999999998,1.6307,0.076923
74,ADP,2016-06-30,0.066673,0.081679,0.12371099999999999,1.2426,0.06666699999999999
75,QCOM,2018-09-30,0.019784,-0.43484700000000004,,1.0103,0.081818
76,QCOM,2017-09-24,-0.053621,-0.485675,-0.5651039999999999,1.0088,0.08910900000000001
77,QCOM,2016-09-25,-0.068312,0.133476,0.17791400000000002,0.8638,0.122222
78,INTU,2018-07-31,0.15201900000000002,0.072961,0.248677,0.5439,0.147059
79,INTU,2017-07-31,0.102897,0.10202699999999999,0.227273,1.0748,0.13333299999999998
80,INTU,2016-07-31,0.119752,0.5273479999999999,1.095238,2.6769,0.2
81,CELG,2018-12-31,0.17519,0.125145,0.4986740000000001,2.0625,0.0
82,CELG,2017-12-31,0.15798399999999999,0.410515,0.466926,2.0821,0.0
83,CELG,2016-12-31,0.21315900000000002,0.381633,0.272277,1.9504,0.0
84,ISRG,2018-12-31,0.186731,0.13786600000000002,0.650582,1.7696,0.0
85,ISRG,2017-12-31,0.16040500000000002,0.120216,-0.061426,2.3228,0.0
86,ISRG,2016-12-31,0.134206,0.250512,0.21046,0.7624,0.0
87,TMUS,2018-12-31,0.06664400000000001,0.08489699999999999,-0.369202,0.8658,0.0
88,TMUS,2017-12-31,0.08306200000000001,0.056251999999999996,2.152047,0.9029,0.0
89,TMUS,2016-12-31,0.169625,0.524211,1.060241,0.7837,0.0
90,CME,2018-12-31,0.182374,0.133857,-0.5225,0.0,-0.25895799999999997
91,CME,2017-12-31,0.013768,0.037521,1.637363,0.0,0.086726
92,CME,2016-12-31,0.080678,0.095025,0.226415,0.0,0.153061
93,CSX,2018-12-31,0.073808,0.23138000000000006,-0.357737,1.311,0.128205
94,CSX,2017-12-31,0.030626,0.073561,2.320442,1.5513,0.08333299999999999
95,CSX,2016-12-30,-0.062823,-0.021285,-0.095,1.8432,0.028571
96,BIDU,2018-12-31,0.205969,0.155909,0.49915,2.3517,0.0
97,BIDU,2017-12-31,0.202123,0.49314600000000003,0.5705830000000001,1.256,0.0
98,BIDU,2016-12-31,0.06278299999999999,0.261918,-0.618222,1.3624,0.0
99,AMOV,2018-12-31,0.016222999999999998,0.134265,0.8086230000000001,1.1144,0.0
100,AMOV,2017-12-31,0.047386000000000005,0.008453,2.3418400000000004,0.8815,0.14285699999999998
101,AMOV,2016-12-31,0.091386,-0.033661,-0.748844,1.0865,0.076923
102,VOD,2019-03-31,-0.062377999999999996,-0.336621,,0.8632,-0.402787
103,VOD,2018-03-31,-0.022254,-0.01309,,0.8181,0.020311000000000003
104,VOD,2017-03-31,-0.043746,0.15186,0.613715,1.0032,0.289956
105,WBA,2018-08-31,0.112702,0.129593,0.33421100000000004,0.9764,0.07541
106,WBA,2017-08-31,0.007354,-0.078886,-0.012987,0.965,0.04811
107,WBA,2016-08-31,0.13444,0.260377,-0.049383,1.0192,0.060109
108,ILMN,2018-12-30,0.211119,0.393701,0.132204,2.1143,0.0
109,ILMN,2017-12-31,0.147445,0.046657,0.5776939999999999,2.8182,0.0
110,ILMN,2017-01-01,0.08046400000000001,-0.015188,-0.011969,2.8903,0.0
111,VRTX,2018-12-31,0.224597,2.83216,6.7735850000000015,1.3194,0.0
112,VRTX,2017-12-31,0.462041,1.588387,,1.6192,0.0
113,VRTX,2016-12-31,0.6488590000000001,,0.8008660000000001,0.9303,0.0
114,MU,2018-08-30,0.49547299999999994,1.030322,1.627409,1.9054,0.0
115,MU,2017-08-31,0.639003,2.090534,,1.259,0.0
116,MU,2016-09-01,-0.234251,-0.44430699999999995,,2.0339,0.0
117,TSLA,2018-12-31,0.825132,385.259127,0.516484,1.8925,0.0
118,TSLA,2017-12-31,0.67979,-0.985999,-1.527778,4.4389,0.0
119,TSLA,2016-12-31,0.730126,,0.324675,2.6834,0.0
120,BIIB,2018-12-31,0.096057,0.07443799999999999,0.811558,2.8604000000000003,0.0
121,BIIB,2017-12-31,0.07206900000000001,0.101781,-0.295991,3.2572,0.0
122,BIIB,2016-12-31,0.063639,0.062225,0.102731,1.9919,0.0
123,MAR,2018-12-31,0.014962,-0.04779,0.401028,2.1719,0.209302
124,MAR,2017-12-31,0.197985,0.8118489999999999,0.45149300000000003,1.039,0.12173900000000001
125,MAR,2016-12-31,0.178517,0.031565,-0.167702,1.2675,0.210526
126,JD,2018-12-31,0.275129,-0.12401199999999998,-14.549320000000002,5.4198,0.0
127,JD,2017-12-31,0.40281,0.548088,0.9359219999999999,4.5132,0.0
128,JD,2016-12-31,0.42484799999999995,,0.7377849999999999,2.3862,0.0
129,WDAY,2019-01-31,0.31689900000000004,-0.7843439999999999,-0.245161,1.3776,0.0
130,WDAY,2018-01-31,0.361151,0.433497,0.201031,1.2307,0.0
131,WDAY,2017-01-31,0.36116,-0.500821,-0.33793100000000004,1.3132,0.0
132,CTSH,2018-12-31,0.088791,0.128249,0.42126,1.3911,0.777778
133,CTSH,2017-12-31,0.098094,0.095952,-0.007812999999999999,1.1687,
134,CTSH,2016-12-31,0.08625999999999999,0.079288,-0.041199000000000006,1.1278,
135,ADI,2018-11-03,0.214085,0.6354380000000001,0.9234450000000001,1.1153,0.067797
136,ADI,2017-10-28,0.4928070000000001,0.32416999999999996,-0.250896,1.0483,0.066265
137,ADI,2016-10-29,-0.003983,0.175505,0.25112100000000004,0.9472,0.057325
138,REGN,2018-12-31,0.142808,0.205609,1.00976,2.6586,0.0
139,REGN,2017-12-31,0.20817199999999997,0.5501600000000001,0.318129,1.917,0.0
140,REGN,2016-12-31,0.184386,0.081831,0.385737,4.8892,0.0
141,AMAT,2018-10-28,0.186834,0.228772,0.021875,2.4109,0.75
142,AMAT,2017-10-29,0.34291,0.6824089999999999,1.051282,1.6121,0.0
143,AMAT,2016-10-30,0.120716,0.231105,0.380531,1.265,0.0
144,KHC,2018-12-29,0.007363,,,0.0,0.020408000000000003
145,KHC,2017-12-30,-0.008517,0.02162,2.19573,0.0,0.042553
146,KHC,2016-12-31,0.43418,1.0532700000000002,,0.0,0.382353
147,ADSK,2019-01-31,0.249538,,0.8565889999999999,1.1318,0.0
148,ADSK,2018-01-31,0.012605,-0.11182,0.011494,0.75,0.0
149,ADSK,2017-01-31,-0.18893,,-0.787671,1.0397,0.0
150,ROST,2019-02-02,0.060050999999999986,0.004028,0.20111700000000002,1.2529,0.40625
151,ROST,2018-02-03,0.09854700000000001,0.121796,0.25614000000000003,1.186,0.185185
152,ROST,2017-01-28,0.07761799999999999,0.108446,0.12648199999999998,0.9847,0.148936
153,NTES,2018-12-31,0.24129299999999998,-0.210797,-0.41568299999999997,0.0,-0.451972
154,NTES,2017-12-31,0.41706800000000005,-5.9e-05,-0.079638,0.0,-0.033979
155,NTES,2016-12-31,0.674298,0.7380439999999999,0.724205,0.0,0.99287
156,ATVI,2018-12-31,0.068833,0.19059,5.611110999999998,0.9424,0.13333299999999998
157,ATVI,2017-12-31,0.061895000000000006,-0.021077000000000002,-0.7230770000000001,1.1832,0.153846
158,ATVI,2016-12-31,0.4168100000000001,0.413127,0.07438,1.1057,0.130435
159,FISV,2018-12-31,0.022296,0.175064,0.003425,3.75,0.0
160,FISV,2017-12-31,0.034696,0.058728,0.383886,3.7763,0.0
161,FISV,2016-12-31,0.047773,0.074074,0.388158,3.2222,0.0
162,XLNX,2019-03-30,0.239972,0.355636,0.892473,1.6706,0.06060599999999999
163,XLNX,2018-03-31,0.050095999999999995,0.027238,-0.246964,1.0758,0.0
164,XLNX,2017-04-01,0.06118200000000001,0.032097,0.15420599999999998,1.5862,0.06451599999999999
165,EBAY,2018-12-31,0.08250199999999999,-0.007483,,1.0399,0.0
166,EBAY,2017-12-31,0.067649,-0.022281,,1.0882,0.0
167,EBAY,2016-12-31,0.082169,0.042649,2.993789,1.0347,0.0
168,ERIC,2018-12-31,0.026585,,0.800805,1.2137,0.0
169,ERIC,2017-12-31,-0.067803,,,0.9449,0.0
170,ERIC,2016-12-31,-0.107743,-0.557475,-0.93765,1.3863,-0.72973
171,ALXN,2018-12-31,0.163358,-0.3996090000000001,-0.823232,2.235,0.0
172,ALXN,2017-12-31,0.151422,0.056684000000000005,0.11236,3.1959,0.0
173,ALXN,2016-12-31,0.18437,0.5110800000000001,1.6176469999999998,4.3547,0.0
174,PAYX,2019-05-31,0.11688399999999999,0.086254,0.039711,1.027,0.116505
175,PAYX,2018-05-31,0.07184299999999999,0.046103,0.220264,1.6578,0.119565
176,PAYX,2017-05-31,0.06755,0.083063,0.080952,0.9458,0.095238
177,AMD,2018-12-29,0.232629,1.291513,,1.734,0.0
178,AMD,2017-12-30,0.216254,,0.95,1.4675,0.0
179,AMD,2016-12-31,0.08218500000000001,0.235669,0.28571399999999997,1.0845,0.0
180,LRCX,2019-06-30,-0.128504,-0.216313,-0.02444,,0.72549
181,LRCX,2018-06-24,0.382271,0.60237,0.406877,1.6554,0.545455
182,LRCX,2017-06-25,0.361496,0.618005,0.8208700000000001,1.0336,0.375
183,LRCX,2016-06-26,0.11913699999999999,0.280803,0.399027,1.3016,0.428571
184,MNST,2018-12-31,0.130048,0.074478,0.227586,1.3765,0.0
185,MNST,2017-12-31,0.104825,0.107879,0.198347,2.255,0.0
186,MNST,2016-12-31,0.120045,0.21813600000000002,0.247423,26.1028,0.0
187,EA,2019-03-31,-0.038835,-0.273248,-0.00885,0.9835,0.0
188,EA,2018-03-31,0.062951,0.124642,0.062696,0.8917,0.0
189,EA,2017-03-31,0.10213799999999999,0.274886,-0.144772,1.0696,0.0
190,NXPI,2018-12-31,0.016314,0.098713,0.036697,1.2782,0.0
191,NXPI,2017-12-31,-0.025478999999999998,1.080292,10.084746,0.9034,0.0
192,NXPI,2016-12-31,0.556794,-0.188389,-0.907233,0.6388,0.0
193,XEL,2018-12-31,0.011663,-0.022443,0.09292,2.422,0.055555999999999994
194,XEL,2017-12-31,0.026739999999999996,0.042437,0.022624000000000002,2.263,0.058824
195,XEL,2016-12-31,0.007529000000000001,0.131425,0.139175,2.5042,0.0625
196,SIRI,2018-12-31,0.063697,0.045477,0.857143,1.2817,0.1
197,SIRI,2017-12-31,0.081302,0.140119,-0.06666699999999999,1.1027,
198,SIRI,2016-12-31,0.097846,0.17244900000000002,0.666667,0.9337,
199,TEAM,2019-06-30,0.384664,-0.731927,-4.134615,,0.0
200,TEAM,2018-06-30,0.4097420000000001,,-1.7368419999999998,1.3634,0.0
201,TEAM,2017-06-30,0.356362,,,0.4774,0.0
202,TEAM,2016-06-30,0.430447,-0.06844700000000001,-0.5,2.3701,0.0
203,MELI,2018-12-31,0.183398,,,2.4581,
204,MELI,2017-12-31,0.440724,-0.537343,-0.899676,2.0496,0.0
205,MELI,2016-12-31,0.295503,0.293544,0.2875,,0.45631099999999997
206,PCAR,2018-12-31,0.207608,0.16989200000000002,0.313025,5.7829,0.410959
207,PCAR,2017-12-31,0.142257,0.5314030000000001,2.194631,5.7455,0.403846
208,PCAR,2016-12-31,-0.10890899999999999,-0.3541900000000001,-0.670354,6.4977,-0.327586
209,CTRP,2018-12-31,0.155583,-0.062467,-0.500154,1.2326,0.0
210,CTRP,2017-12-31,0.393561,,,0.9612,0.0
211,CTRP,2016-12-31,0.764471,,,1.4799,0.0
212,GOLD,2018-12-31,-0.135061,-0.634914,,0.9609,0.583333
213,GOLD,2017-12-31,-0.0215,0.179981,1.1964290000000002,0.8476,0.5
214,GOLD,2016-12-31,-0.052165,,,0.7154,-0.272727
215,ALGN,2018-12-31,0.33465100000000003,0.332033,0.7301040000000001,0.0,0.0
216,ALGN,2017-12-31,0.36443,0.433921,0.214286,0.0,0.0
217,ALGN,2016-12-31,0.277223,0.320778,0.32222199999999995,0.0,0.0
218,WLTW,2018-12-31,0.037918,0.153447,0.25653200000000004,1.2885,0.132075
219,WLTW,2017-12-31,0.039938999999999995,0.02197,0.371336,1.4778,0.104167
220,WLTW,2016-12-31,1.059807,1.207358,-0.440801,1.2247,-0.414634
221,MCHP,2019-03-31,0.343825,0.024804,0.372727,1.2674,0.005521000000000001
222,MCHP,2018-03-31,0.16814400000000002,1.0834899999999998,0.392405,1.6718,0.0055520000000000005
223,MCHP,2017-03-31,0.568006,0.17227599999999998,-0.5031450000000001,0.6127,0.005582999999999999
224,VRSN,2018-12-31,0.042807000000000005,0.076767,0.125,0.7651,0.0
225,VRSN,2017-12-31,0.020074,0.017269,0.106796,0.9924,0.0
226,VRSN,2016-12-31,0.07816100000000001,0.115819,0.25228,0.4569,0.0
227,VRSK,2018-12-31,0.11649300000000001,0.08819600000000001,0.08035700000000001,2.8911,0.0
228,VRSK,2017-12-31,0.07518,0.046765,0.253731,2.3647,0.0
229,VRSK,2016-12-31,0.133186,0.079887,-0.091525,2.0728,0.0
230,LULU,2019-02-03,0.241259,0.468038,0.9105260000000001,1.8448,0.0
231,LULU,2018-01-28,0.13000799999999998,0.108848,-0.140271,1.4617,0.0
232,LULU,2017-01-29,0.137766,0.15004800000000001,0.163158,1.7185,0.0
233,UAL,2018-12-31,0.093135,0.17388299999999998,0.091808,1.9222,0.0
234,UAL,2017-12-31,0.033592000000000004,-0.078385,0.03207,1.9314,0.0
235,UAL,2016-12-31,-0.034545,-0.09592,-0.648566,,0.0
236,INFO,2018-11-30,0.11375899999999999,0.16858499999999998,0.326923,1.2718,0.0
237,INFO,2017-11-30,0.316257,0.7055859999999999,1.2608700000000002,1.6573,0.0
238,INFO,2016-11-30,1.45626,0.424713,-0.458824,1.2857,0.0
239,CTAS,2019-05-31,0.06417999999999999,0.21507199999999999,0.14923599999999998,1.2374,0.265432
240,CTAS,2018-05-31,0.21663900000000005,0.266895,0.6955500000000001,1.2609,0.218045
241,CTAS,2017-05-31,0.11001500000000002,0.038605,0.046569,1.5931,0.266667
242,FITB,2018-12-31,0.033709,0.0,0.087413,0.0,0.23333299999999998
243,FITB,2017-12-31,0.119611,0.0,0.466667,0.0,0.132075
244,FITB,2016-12-31,-0.020196,0.0,-0.039409,0.0,0.019231
245,CHKP,2018-12-31,0.033331,-0.006370000000000001,0.06287999999999999,1.0455,0.0
246,CHKP,2017-12-31,0.065099,0.084829,0.157277,2.2355,0.0
247,CHKP,2016-12-31,0.06838899999999999,0.015602000000000001,0.112272,2.2099,0.0
