ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
GOOG,197854580.0,INV,2019-07-24,Completed,USD,160000000.0,Cash
GOOG,197895460.0,M&A,2019-07-24,Completed,USD,1000000000.0,Cash
GOOG,196993680.0,M&A,2019-07-09,Pending,USD,250000000.0,Cash
GOOG,171795420.0,INV,2019-07-08,Pending,USD,0.0,Cash
GOOG,195066860.0,M&A,2019-06-10,Pending,USD,0.0,Cash
GOOG,194876480.0,M&A,2019-06-06,Pending,USD,2600000000.0,Cash
GOOG,191657180.0,INV,2019-04-25,Pending,USD,125000000.0,Cash
GOOG,189095950.0,INV,2019-03-14,Completed,USD,10000000.0,Cash
GOOG,188525070.0,INV,2019-03-05,Completed,USD,615000.0,Cash
GOOG,188003800.0,INV,2019-02-27,Completed,USD,40000000.0,Cash
GOOG,187480740.0,M&A,2019-02-19,Proposed,USD,0.0,Cash
GOOG,187152140.0,INV,2019-02-13,Completed,USD,6500000.0,Cash
GOOG,187085280.0,INV,2019-02-12,Completed,USD,5500000.0,Cash
GOOG,187070300.0,INV,2019-02-12,Withdrawn,USD,0.0,Cash
GOOG,185346130.0,M&A,2019-01-17,Pending,USD,40000000.0,Cash
GOOG,184610940.0,M&A,2019-01-03,Completed,USD,0.0,Undisclosed
GOOG,183248780.0,M&A,2018-12-17,Completed,USD,0.0,Cash
GOOG,182807500.0,M&A,2018-12-10,Completed,USD,0.0,Cash
GOOG,182544000.0,INV,2018-12-05,Completed,JPY,0.0,Cash
GOOG,181953500.0,M&A,2018-11-27,Completed,USD,1000000000.0,Cash
GOOG,182951780.0,M&A,2018-11-27,Completed,USD,0.0,Undisclosed
GOOG,181726510.0,M&A,2018-11-22,Completed,USD,0.0,Cash
GOOG,180617070.0,INV,2018-10-25,Proposed,EUR,12000000000.0,Cash
GOOG,176566960.0,INV,2018-08-27,Withdrawn,INR,40000000000.0,Cash
GOOG,176277860.0,INV,2018-08-21,Completed,USD,21000000.0,Cash
GOOG,175935120.0,INV,2018-08-14,Completed,USD,375000000.0,Cash
GOOG,175917400.0,INV,2018-08-14,Completed,USD,15000000.0,Cash
GOOG,175492370.0,JV,2018-08-03,Pending,USD,0.0,Undisclosed
GOOG,174791790.0,M&A,2018-07-26,Pending,EUR,115000000.0,Cash
GOOG,174010700.0,M&A,2018-07-12,Withdrawn,USD,0.0,Cash
GOOG,172400510.0,INV,2018-06-27,Completed,USD,22000000.0,Cash
GOOG,170322600.0,INV,2018-06-18,Pending,USD,549999900.0,Cash
GOOG,167559740.0,M&A,2018-05-15,Completed,USD,0.0,Cash
GOOG,166398110.0,M&A,2018-05-09,Completed,USD,0.0,Undisclosed
GOOG,164186080.0,M&A,2018-04-10,Proposed,EUR,0.0,Cash
GOOG,163332130.0,M&A,2018-03-30,Completed,USD,0.0,Undisclosed
GOOG,163378980.0,INV,2018-03-27,Completed,USD,165000000.0,Cash
GOOG,162939400.0,M&A,2018-03-21,Proposed,USD,40000000.0,Cash
GOOG,170705310.0,M&A,2018-03-05,Completed,USD,0.0,Cash
GOOG,162033920.0,M&A,2018-03-05,Pending,USD,0.0,Undisclosed
GOOG,140425060.0,INV,2018-02-26,Completed,USD,1500000000.0,Cash
GOOG,161052930.0,M&A,2018-02-15,Completed,USD,50000000.0,Undisclosed
GOOG,160724320.0,M&A,2018-02-06,Completed,USD,2400000000.0,Cash
GOOG,159067170.0,M&A,2018-01-11,Completed,GBP,0.0,Undisclosed
GOOG,158774270.0,INV,2018-01-05,Completed,USD,0.0,Cash
GOOG,158648620.0,M&A,2018-01-03,Completed,USD,0.0,Cash
GOOG,160581250.0,INV,2017-11-15,Completed,USD,70000000.0,Cash
GOOG,199364200.0,M&A,2017-11-09,Withdrawn,INR,0.0,Undisclosed
GOOG,153499550.0,M&A,2017-10-09,Completed,USD,0.0,Undisclosed
GOOG,177950030.0,M&A,2017-09-26,Completed,USD,0.0,Undisclosed
GOOG,152405180.0,M&A,2017-09-21,Completed,USD,1100000000.0,Cash
GOOG,150613760.0,M&A,2017-08-17,Completed,BYN,0.0,Undisclosed
GOOG,150454240.0,M&A,2017-08-14,Proposed,USD,0.0,Undisclosed
GOOG,148731230.0,M&A,2017-07-12,Completed,INR,0.0,Undisclosed
GOOG,146938750.0,M&A,2017-06-08,Completed,USD,0.0,Undisclosed
GOOG,145756140.0,INV,2017-05-19,Pending,USD,100000000.0,Cash
GOOG,145295920.0,M&A,2017-05-10,Completed,USD,0.0,Cash
GOOG,142425220.0,INV,2017-03-21,Completed,USD,14000000.0,Cash
GOOG,141825170.0,M&A,2017-03-10,Completed,CAD,0.0,Undisclosed
GOOG,141716720.0,M&A,2017-03-09,Completed,USD,0.0,Cash
GOOG,139897740.0,M&A,2017-02-05,Completed,USD,0.0,Undisclosed
GOOG,138436910.0,M&A,2017-02-04,Completed,USD,0.0,Undisclosed
GOOG,138861340.0,M&A,2017-01-18,Completed,USD,0.0,Cash
GOOG,138298800.0,M&A,2017-01-05,Completed,SEK,0.0,Cash
GOOG,136820980.0,M&A,2016-12-13,Completed,USD,0.0,Undisclosed
GOOG,135599200.0,M&A,2016-11-21,Completed,USD,0.0,Undisclosed
GOOG,135197980.0,M&A,2016-11-14,Withdrawn,USD,0.0,Undisclosed
GOOG,136899490.0,M&A,2016-11-06,Completed,USD,0.0,Undisclosed
GOOG,133955500.0,M&A,2016-10-24,Completed,USD,0.0,Undisclosed
GOOG,133336550.0,M&A,2016-10-11,Completed,USD,0.0,Cash
GOOG,132142440.0,M&A,2016-09-19,Completed,USD,0.0,Stock
GOOG,132022696.0,M&A,2016-09-15,Completed,USD,0.0,Undisclosed
GOOG,131800780.0,JV,2016-09-12,Completed,USD,0.0,Undisclosed
GOOG,131675096.0,M&A,2016-09-08,Completed,USD,487407040.0,Cash
GOOG,130112910.0,M&A,2016-08-08,Completed,USD,100000000.0,Cash
GOOG,129637890.0,JV,2016-08-01,Pending,GBP,297000000.0,Undisclosed
GOOG,129472900.0,M&A,2016-07-28,Completed,USD,0.0,Cash
GOOG,128678900.0,M&A,2016-07-12,Completed,USD,0.0,Cash
GOOG,128490230.0,M&A,2016-07-07,Completed,USD,0.0,Cash
GOOG,128373720.0,M&A,2016-07-06,Completed,EUR,0.0,Undisclosed
GOOG,126815220.0,M&A,2016-06-07,Withdrawn,USD,1045696060.0,Cash
GOOG,124954620.0,M&A,2016-05-02,Completed,CAD,0.0,Undisclosed
GOOG,124720504.0,M&A,2016-04-28,Proposed,RUB,0.0,Undisclosed
GOOG,122662830.0,M&A,2016-03-18,Proposed,USD,0.0,Undisclosed
GOOG,122610136.0,M&A,2016-03-17,Withdrawn,USD,0.0,Undisclosed
GOOG,120798150.0,M&A,2016-02-18,Completed,USD,0.0,Cash
GOOG,120597780.0,M&A,2016-02-12,Completed,USD,8000000.0,Cash
GOOG,119140330.0,M&A,2016-01-19,Completed,USD,215000000.0,Cash
GOOG,197280740.0,M&A,2015-11-19,Completed,USD,380241400.0,Cash
GOOG,115432904.0,M&A,2015-11-06,Completed,USD,0.0,Undisclosed
GOOG,114271370.0,M&A,2015-10-17,Completed,EUR,0.0,Undisclosed
GOOG,114167370.0,M&A,2015-10-13,Completed,USD,0.0,Undisclosed
GOOG,113673250.0,INV,2015-10-12,Completed,USD,100000000.0,Cash
GOOG,113249640.0,M&A,2015-09-30,Completed,JPY,0.0,Undisclosed
GOOG,110175330.0,M&A,2015-07-28,Withdrawn,USD,300000000.0,Undisclosed
GOOG,109922130.0,M&A,2015-07-21,Completed,USD,0.0,Cash
GOOG,124869930.0,M&A,2015-05-28,Completed,USD,0.0,Cash
GOOG,106417230.0,M&A,2015-05-04,Completed,USD,0.0,Cash
GOOG,113616440.0,JV,2015-03-24,Completed,USD,0.0,Undisclosed
GOOG,103877864.0,M&A,2015-03-10,Withdrawn,USD,2000000000.0,Cash
GOOG,103348056.0,M&A,2015-02-27,Completed,USD,0.0,Undisclosed
GOOG,103091230.0,M&A,2015-02-24,Completed,USD,0.0,Cash
GOOG,103026136.0,M&A,2015-02-23,Completed,USD,0.0,Cash
GOOG,102283944.0,M&A,2015-02-04,Completed,USD,0.0,Undisclosed
GOOG,101572300.0,INV,2015-01-20,Completed,USD,1000000000.0,Cash
GOOG,98070720.0,M&A,2014-10-24,Completed,USD,0.0,Cash
GOOG,97736080.0,M&A,2014-10-21,Completed,USD,0.0,Undisclosed
GOOG,96114290.0,M&A,2014-09-11,Completed,USD,0.0,Cash
