,Ticker,Date,RevQoQ,EBITDAQoQ,EPSQoQ
0,AAPL,2019-06-29,0.010213000000000002,-0.052365999999999996,-0.067797
1,AAPL,2019-03-30,-0.051066,-0.116889,-0.10181799999999999
2,AAPL,2018-12-29,-0.045111,-0.0785,0.07653099999999999
3,AAPL,2018-09-29,0.196295,0.20943299999999998,0.4134620000000001
4,AAPL,2018-06-30,0.17303100000000002,0.164228,0.404762
5,AAPL,2018-03-31,0.155796,0.134153,0.30331800000000003
6,AAPL,2017-12-30,0.126891,0.101458,0.15976300000000002
7,AAPL,2017-09-30,0.12223599999999998,0.090502,0.23809499999999997
8,AAPL,2017-07-01,0.072005,0.038873000000000005,0.174825
9,AAPL,2017-04-01,0.046265,-0.0021260000000000003,0.10471199999999999
10,AAPL,2016-12-31,0.032673,-0.028719,0.024242
11,AAPL,2016-09-24,-0.09027000000000003,-0.193496,-0.147208
12,AAPL,2016-06-25,-0.146094,-0.264228,-0.23118300000000006
13,MSFT,2019-06-30,0.120725,0.186795,0.49565200000000004
14,MSFT,2019-03-31,0.139901,0.201895,0.197917
15,MSFT,2018-12-31,0.12286500000000002,0.17668299999999998,
16,MSFT,2018-09-30,0.185264,0.246059,0.352941
17,MSFT,2018-06-30,0.174966,0.326484,0.095238
18,MSFT,2018-03-31,0.155394,0.242044,0.352113
19,MSFT,2017-12-31,0.119724,0.153212,
20,MSFT,2017-09-30,0.119026,0.241941,0.164384
21,MSFT,2017-06-30,0.090781,0.268024,0.567164
22,MSFT,2017-03-31,0.07877499999999997,0.149299,0.29090900000000003
23,MSFT,2016-12-31,0.02269,0.114912,0.08
24,MSFT,2016-09-30,0.048685,0.096953,0.15872999999999998
25,MSFT,2016-06-30,0.058341,,
26,AMZN,2019-06-30,0.198881,0.38515,0.021113
27,AMZN,2019-03-31,0.169625,0.806002,1.154762
28,AMZN,2018-12-31,0.197343,0.430756,0.6051949999999999
29,AMZN,2018-09-30,0.293343,1.301933,10.150943
30,AMZN,2018-06-30,0.393387,1.027906,11.707317
31,AMZN,2018-03-31,0.429187,0.6273259999999999,1.210526
32,AMZN,2017-12-31,0.382067,0.5840609999999999,1.452229
33,AMZN,2017-09-30,0.33716500000000005,0.225649,0.0
34,AMZN,2017-06-30,0.24835500000000002,0.020977000000000003,-0.7734810000000001
35,AMZN,2017-03-31,0.226105,0.187026,0.394495
36,AMZN,2016-12-31,0.223627,0.241608,0.5242720000000001
37,AMZN,2016-09-30,0.290086,0.32618499999999995,2.1176470000000003
38,AMZN,2016-06-30,0.311365,0.622967,8.05
39,FB,2019-06-30,0.27624499999999996,-0.07177,-0.47727299999999995
40,FB,2019-03-31,0.259987,-0.23132199999999997,-0.505814
41,FB,2018-12-31,0.303885,0.102377,0.632653
42,FB,2018-09-30,0.32910500000000004,0.16844800000000001,0.09876499999999999
43,FB,2018-06-30,0.4194830000000001,0.34470700000000004,0.313433
44,FB,2018-03-31,0.489791,0.6003000000000001,0.622642
45,FB,2017-12-31,0.47258500000000003,0.5839770000000001,0.18548399999999998
46,FB,2017-09-30,0.47311400000000003,0.589806,0.7802199999999999
47,FB,2017-06-30,0.44826000000000005,0.545345,0.675
48,FB,2017-03-31,0.492382,0.5605,0.7377049999999999
49,FB,2016-12-31,0.5081319999999999,0.6693520000000001,1.254545
50,FB,2016-09-30,0.557654,0.906427,1.84375
51,FB,2016-06-30,0.5922810000000001,0.9162819999999999,2.076923
52,INTC,2019-06-29,-0.026943,-0.023935,-0.12963
53,INTC,2019-03-30,-0.000311,0.027002999999999996,-0.073684
54,INTC,2018-12-29,0.09406,0.150759,
55,INTC,2018-09-29,0.186637,0.336528,0.458333
56,INTC,2018-06-30,0.148953,0.26843900000000004,0.8
57,INTC,2018-03-31,0.08583400000000001,0.195052,0.507937
58,INTC,2017-12-30,0.041468,0.17332699999999998,
59,INTC,2017-09-30,0.023514,0.12676099999999998,0.352113
60,INTC,2017-07-01,0.090889,0.8021639999999999,1.142857
61,INTC,2017-04-01,0.07984199999999997,0.21710700000000002,0.465116
62,INTC,2016-12-31,0.097895,0.001707,-0.025974
63,INTC,2016-10-01,0.090771,-0.011907,0.092308
64,INTC,2016-07-02,0.025616000000000003,-0.364065,-0.508772
65,CSCO,2019-07-27,0.045469,0.07560800000000001,-0.35802500000000004
66,CSCO,2019-04-27,0.039718,0.08004299999999999,0.25
67,CSCO,2019-01-26,0.047026000000000005,0.021828999999999998,
68,CSCO,2018-10-27,0.077126,0.28536999999999996,0.625
69,CSCO,2018-07-28,0.058601,-0.27406,0.653061
70,CSCO,2018-04-28,0.043802,-0.008313000000000001,0.12
71,CSCO,2018-01-27,0.026511,0.051424,
72,CSCO,2017-10-28,-0.017487,-0.044304,0.043477999999999996
73,CSCO,2017-07-29,-0.039959,-0.02439,-0.125
74,CSCO,2017-04-29,-0.005,0.057872000000000014,0.06383
75,CSCO,2017-01-28,-0.029094,-0.0923,-0.24193499999999998
76,CSCO,2016-10-29,-0.026021,-0.030675,-0.041667
77,CSCO,2016-10-28,,,
78,CSCO,2016-07-30,-0.015962,0.547389,0.21739099999999997
79,CMCSA,2019-06-30,0.23570300000000002,0.167914,-0.014286000000000002
80,CMCSA,2019-03-31,0.17849199999999998,0.211485,0.164179
81,CMCSA,2018-12-31,0.261427,0.144405,-0.826498
82,CMCSA,2018-09-30,0.049998000000000015,0.033416,0.125
83,CMCSA,2018-06-30,0.021094,0.07660800000000001,0.320755
84,CMCSA,2018-03-31,0.10705799999999999,0.033381,0.24074099999999998
85,CMCSA,2017-12-31,0.049941000000000006,-0.0032540000000000004,5.673684
86,CMCSA,2017-09-30,-0.011164,0.007023000000000001,0.204301
87,CMCSA,2017-06-30,0.104676,0.09605,0.261905
88,CMCSA,2017-03-31,0.095636,0.100989,0.227273
89,CMCSA,2016-12-31,0.09249199999999999,0.077806,0.202532
90,CMCSA,2016-09-30,0.141947,0.105272,0.148148
91,CMCSA,2016-06-30,0.028064,0.030163,-0.011765
92,PEP,2019-06-15,0.022312000000000002,-0.058023000000000005,0.13281300000000001
93,PEP,2019-03-23,0.025633,0.169779,0.07446799999999999
94,PEP,2018-12-29,-0.000102,-0.042279000000000004,
95,PEP,2018-09-08,0.015086,-0.024878,0.18
96,PEP,2018-06-16,0.024188,0.037144,-0.129252
97,PEP,2018-03-24,0.042575999999999996,-0.044398,0.021738999999999998
98,PEP,2017-12-30,0.0005639999999999999,0.056383,
99,PEP,2017-09-09,0.01329,0.032172000000000006,0.086957
100,PEP,2017-06-17,0.020461,-0.01531,0.057553999999999994
