,Ticker,Date,GM,EBITMargin,EBITDAMargin,NetMargin
0,AAPL,2019-06-29,0.375904,0.21453699999999998,0.295502,0.18666
1,AAPL,2019-03-30,0.376127,0.231233,0.299219,0.199276
2,AAPL,2018-12-29,0.379919,0.276907,0.303973,0.23680500000000002
3,AAPL,2018-09-29,0.382893,0.25624800000000003,0.30799099999999996,0.224563
4,AAPL,2018-06-30,0.383385,0.236778,0.307642,0.216258
5,AAPL,2018-03-31,0.38310700000000003,0.259974,0.30870200000000003,0.226082
6,AAPL,2017-12-30,0.384085,0.297577,0.310123,0.227255
7,AAPL,2017-09-30,0.379068,0.249529,0.311913,0.20377
8,AAPL,2017-07-01,0.38513,0.237139,0.31411100000000003,0.191971
9,AAPL,2017-04-01,0.389273,0.266504,0.31622900000000004,0.20850300000000002
10,AAPL,2016-12-31,0.385139,0.29813300000000004,0.31978100000000004,0.22834400000000002
11,AAPL,2016-09-24,0.380197,0.251025,0.32706999999999997,0.192393
12,AAPL,2016-06-25,0.380235,0.238562,0.335751,0.18405
13,MSFT,2019-06-30,0.691194,0.367915,0.4477640000000001,0.391108
14,MSFT,2019-03-31,0.6673319999999999,0.338262,0.440746,0.288149
15,MSFT,2018-12-31,0.617412,0.315913,0.435281,0.25930800000000004
16,MSFT,2018-09-30,0.659435,0.34228400000000003,0.430883,0.30339700000000003
17,MSFT,2018-06-30,0.6761839999999999,0.344989,0.425009,0.294931
18,MSFT,2018-03-31,0.6543869999999999,0.309184,0.41208,0.276819
19,MSFT,2017-12-31,0.617401,0.300124,0.404897,-0.217927
20,MSFT,2017-09-30,0.6626460000000001,0.314125,0.401962,0.267993
21,MSFT,2017-06-30,0.669752,0.30002,0.391453,0.315134
22,MSFT,2017-03-31,0.6527660000000001,0.289635,0.377848,0.23634299999999997
23,MSFT,2016-12-31,0.616627,0.306087,0.371901,0.242662
24,MSFT,2016-09-30,0.642284,0.30622900000000003,0.362952,0.258437
25,MSFT,2016-06-30,0.6600920000000001,0.255432,0.35873399999999994,0.222672
26,AMZN,2019-06-30,0.426897,0.04864,0.13814,0.041401
27,AMZN,2019-03-31,0.43182600000000004,0.07403699999999999,0.13361099999999998,0.059648000000000014
28,AMZN,2018-12-31,0.381264,0.052305,0.11920399999999999,0.041819
29,AMZN,2018-09-30,0.41666099999999995,0.065823,0.114674,0.050958
30,AMZN,2018-06-30,0.420792,0.056404,0.101357,0.047914000000000005
31,AMZN,2018-03-31,0.39784899999999995,0.037752999999999995,0.09184,0.031915
32,AMZN,2017-12-31,0.363241,0.035184,0.087622,0.030702
33,AMZN,2017-09-30,0.370222,0.007932999999999999,0.08383900000000001,0.005852
34,AMZN,2017-06-30,0.382137,0.016545999999999998,0.086002,0.00519
35,AMZN,2017-03-31,0.371675,0.02814,0.090087,0.020272
36,AMZN,2016-12-31,0.337967,0.028692,0.090465,0.017124
37,AMZN,2016-09-30,0.350125,0.017577000000000002,0.09071599999999999,0.007703
38,AMZN,2016-06-30,0.3691620000000001,0.042264,0.090826,0.028187000000000007
39,FB,2019-06-30,0.804157,0.273955,0.435324,0.154921
40,FB,2019-03-31,0.8132250000000001,0.220004,0.470712,0.16110600000000005
41,FB,2018-12-31,0.834693,0.46233900000000006,0.523443,0.406882
42,FB,2018-09-30,0.8238509999999999,0.421141,0.547017,0.374226
43,FB,2018-06-30,0.832666,0.443126,0.56488,0.385912
44,FB,2018-03-31,0.83896,0.455374,0.5747639999999999,0.416764
